Block,Water Trt,N Trt,Plot, Grain Wt (g),% Moisture Content (MC),Moisture as decimal,lb/bu,Weight (g) 0% MC,Weight (g) 15.5% MC,Weight (kg) 0% MC,Weight (kg) 15.5% MC,Harvest area (ac),Harvest area (ha),"Grain Yield, 0% MC bu/ac","Grain Yield, 15.5% MC bu/ac","Grain Yield, 0% MC kg/ha","Grain Yield, 15.5% MC kg/ha","Annual ET, mm",Water trt target,N trt target,,,,,
1,1,4,1,5644.1,12.2,0.122,58.6,4955.5,5723.6,4.9555,5.7236,0.001147842,0.000464515,162.42,187.60,10668.2,12321.7,,100,155,,,,,
1,1,1,2,3816.1,13.6,0.136,57.7,3297.1,3808.2,3.2971,3.8082,0.001147842,0.000464515,109.75,126.76,7098.0,8198.1,,100,20,,,,,
1,1,5,3,6791.8,13.5,0.135,59.0,5874.9,6785.5,5.8749,6.7855,0.001147842,0.000464515,191.25,220.89,12647.4,14607.7,,100,200,,,,,
1,1,3,4,5572.7,15.6,0.156,58.6,4703.4,5432.4,4.7034,5.4324,0.001147842,0.000464515,154.16,178.05,10125.3,11694.7,,100,110,,,,,
1,1,2,5,4415.3,15.4,0.154,58.2,3735.3,4314.3,3.7353,4.3143,0.001147842,0.000464515,123.27,142.38,8041.4,9287.8,,100,65,,,,,
1,1,6,6,6288.7,15.0,0.150,58.8,5345.4,6173.9,5.3454,6.1739,0.001147842,0.000464515,174.60,201.67,11507.5,13291.1,,100,245,,,,,
1,2,3,7,3391.6,12.3,0.123,58.9,2974.4,3435.5,2.9744,3.4355,0.001147842,0.000464515,96.99,112.03,6403.3,7395.8,,70,110,,,,,
1,2,1,8,3296.0,13.3,0.133,58.9,2857.6,3300.6,2.8576,3.3006,0.001147842,0.000464515,93.18,107.63,6151.9,7105.4,,70,20,,,,,
1,2,6,9,3787.1,11.7,0.117,58.4,3344.0,3862.3,3.3440,3.8623,0.001147842,0.000464515,109.98,127.02,7198.9,8314.8,,70,245,,,,,
1,2,5,10,3083.9,11.5,0.115,59.6,2729.3,3152.3,2.7293,3.1523,0.001147842,0.000464515,87.95,101.59,5875.5,6786.2,,70,200,,,,,
1,2,4,11,3283.0,11.9,0.119,59.2,2892.3,3340.6,2.8923,3.3406,0.001147842,0.000464515,93.84,108.38,6226.5,7191.7,,70,155,,,,,
1,2,2,12,2191.5,11.8,0.118,56.8,1932.9,2232.5,1.9329,2.2325,0.001147842,0.000464515,65.36,75.49,4161.1,4806.1,,70,65,,,,,
2,2,6,13,3767.6,12.4,0.124,59.2,3300.4,3812.0,3.3004,3.8120,0.001147842,0.000464515,107.08,123.67,7105.1,8206.4,,70,245,,,,,
2,2,1,14,2853.0,12.0,0.120,57.9,2510.6,2899.8,2.5106,2.8998,0.001147842,0.000464515,83.28,96.19,5404.9,6242.6,,70,20,,,,,
2,2,5,15,2748.8,11.6,0.116,58.1,2429.9,2806.6,2.4299,2.8066,0.001147842,0.000464515,80.33,92.78,5231.1,6042.0,,70,200,,,,,
2,2,4,16,3681.2,11.8,0.118,58.6,3246.8,3750.1,3.2468,3.7501,0.001147842,0.000464515,106.42,122.91,6989.7,8073.1,,70,155,,,,,
2,2,3,17,3406.1,11.2,0.112,57.9,3024.6,3493.4,3.0246,3.4934,0.001147842,0.000464515,100.33,115.88,6511.3,7520.6,,70,110,,,,,
