,Unnamed: 0,Sample name,Sample date,Sample ID,Plot,ID,Nitrogen,Water,Block,Direction,Barcode,Notes,Barcode_key,Run,% Moisture Content (MC),Moisture as decimal,lb/bu,Weight (g) 0% MC,Weight (g) 15.5% MC,Weight (kg) 0% MC,Weight (kg) 15.5% MC,Harvest area (ac),Harvest area (ha),"Grain Yield, 0% MC bu/ac","Grain Yield, 15.5% MC bu/ac","Grain Yield, 0% MC kg/ha","Grain Yield, 15.5% MC kg/ha","Annual ET, mm",Water trt target,N trt target,lbs NH4-N / ac,lbs NO3-N / ac,Total N / ac,qPCR_DW,qPCR_FW,qPCR_DW_log,qPCR_FW_log,GWC,Stems,Leaves,Shoots,Grain 0% MC,EC.4.1.1.5,EC.1.1.1.76,EC.3.2.1.6,EC.3.2.1.14,EC.2.6.1.86,EC.4.1.1.74,EC.3.5.99.7,EC.5.4.4.2,EC.4.2.99.21,EC.3.3.2.1,EC.1.3.1.28,EC.3.2.1.21,EC.3.2.1.20,EC.3.2.1.91,EC.1.10.3.2,EC.1.11.1.7,EC.3.2.1.52,EC.3.5.1.4,EC.3.5.1.5,EC.3.4.11.1,EC.1.3.3.11,EC.3.1.3.1,EC.3.1.3.2,EC.3.1.3.8,EC.3.1.3.26,EC.3.1.6.1,EC.1.18.6.1,EC.1.14.18.3,EC.1.14.99.39,EC.1.7.2.6,EC.1.7.1.15,EC.1.7.2.2,EC.1.7.1.4,EC.1.7.7.1,EC.1.7.2.1,EC.1.7.2.5,EC.1.7.2.4
0,0,193,2021-06-15,2N,2N,111.0,Low,High,1,N,53.0,NxW_B library,barcode53B,B,13.6,0.136,57.7,3297.1,3808.2,3.2971,3.8082,0.001147842,0.000464515,109.75,126.76,7098.0,8198.1,,100.0,20.0,4.284182426,3.260166835,6.568395772,654341922.4008539,783492510.5206034,20.299140589926903,20.479272060710965,0.164839595,,,3.558,,0.0353151942344964,0.0835781610813417,0.0019106538491391,0.1273759752672967,0.0046432446474809,0.0756376792813878,0.0388579210165869,0.1967734484513547,0.0507605669330891,0.0831215630322155,0.0831215630322155,0.200574661765319,0.1853942929010825,0.0022377843712522,0.0,0.0,0.4179933356717374,0.1697583136317516,0.1273911887917801,0.4318302165279953,0.1083850413495592,0.243761422274002,0.1456744349496101,0.0419913821785993,0.0225794115532489,0.1393844141616565,0.0227954120913748,0.0114125695986592,0.0114125695986592,0.0014629493019149,0.2559145515119347,0.1462474071139733,0.0,0.0190783789772758,0.0709395068983681,0.097735437425016,0.0443078822787917
1,1,205,2021-06-15,2S,2S,111.0,Low,High,1,S,65.0,NxW_B library,barcode65B,B,13.6,0.136,57.7,3297.1,3808.2,3.2971,3.8082,0.001147842,0.000464515,109.75,126.76,7098.0,8198.1,,100.0,20.0,1.679653575,2.569605352,3.2733054390000005,430285654.8155675,515213188.0768072,19.8799598596179,20.060091330401963,0.164839595,,,3.558,,0.0343752115099442,0.072919445025324,0.0013890675967876,0.1336120831051374,0.0038951990826686,0.0656371720174394,0.0604278082633409,0.1962892080232159,0.0571323559734967,0.0715517308735089,0.0715517308735089,0.2292153668845535,0.1955690587881028,0.0050857058082528,0.0,0.0,0.4431235286906611,0.1801079968159824,0.1345649727580077,0.4593540773969924,0.1051557862106202,0.2486592333605819,0.1465227069761455,0.0554653048556236,0.0303039662667247,0.1073869885043369,0.022822960896612,0.0102962545463272,0.0102962545463272,0.0017933911645333,0.2786505553656843,0.1385238298259365,0.0,0.0183113160377705,0.0763653206559559,0.1043441539345167,0.0371139867143442
2,2,212,2021-06-15,23S,23S,211.0,Low,High,2,S,72.0,NxW_B library,barcode72B,B,15.7,0.157,56.8,4344.1,5017.5,4.3441,5.0175,0.001147842,0.000464515,146.9,169.66,9352.0,10801.6,,100.0,20.0,5.473837577,4.001597249,8.499481338,712102283.0290754,852244786.8165334,20.38373211499844,20.56338435199853,0.164439262,,,2.648,,0.0566402777790558,0.0808360345755256,0.0016985948166539,0.159580780521521,0.0022920337772525,0.0855739520563799,0.0623386454363472,0.1701158258223077,0.0508704416208852,0.0901262179814979,0.0901262179814979,0.2424503667140093,0.2027792416734543,0.0056191907261036,0.0,0.0,0.4734792270099115,0.1894289096259492,0.1498143815775073,0.4807034274042951,0.1210952146311238,0.2357369280654421,0.1665750112627336,0.0557915299876448,0.0475148509683126,0.0908088277167821,0.0171282174022169,0.0093143060226518,0.0093143060226518,0.0011900719633681,0.3396625180908598,0.110387067605051,0.0,0.006431043467708,0.0639496712179391,0.0910387500879617,0.0247093132663927
3,3,221,2021-06-15,23N,23N,211.0,Low,High,2,N,81.0,NxW_B library,barcode81B,B,15.7,0.157,56.8,4344.1,5017.5,4.3441,5.0175,0.001147842,0.000464515,146.9,169.66,9352.0,10801.6,,100.0,20.0,6.7125893130000005,3.89579604,9.632431865,901933680.8270508,1079435210.163083,20.62005155074185,20.799703787741937,0.164439262,,,2.648,,0.0656971111707415,0.0928537480018674,0.0024763863814615,0.1491323864751546,0.0076893231135056,0.1096647246592625,0.0558679360882391,0.1994678476006911,0.059897674272017,0.1119887942101197,0.1119887942101197,0.1929903747095467,0.163502095991248,0.0041956489899228,0.0,0.0,0.4363989198810057,0.1589616289042529,0.1413228410126516,0.4551513480918415,0.1161361860523755,0.2302878776873703,0.161770344166966,0.036105818241725,0.056840895045561,0.1140574810165907,0.0215059678967334,0.0095519135295417,0.0095519135295417,0.0,0.269003894773773,0.1334481475750263,0.0,0.0141468296610225,0.07457666405559,0.1048557226535707,0.0442482184491612
4,4,195,2021-06-15,32N,32N,311.0,Low,High,3,N,55.0,NxW_B library,barcode55B,B,13.6,0.136,58.1,3545.0,4094.5,3.545,4.0945,0.001147842,0.000464515,117.19,135.35,7631.6,8814.5,,100.0,20.0,1.52708171,2.8007204010000004,3.3518486230000004,626439041.5914457,770097874.4724574,20.255562027632607,20.46202817443874,0.186546201,,,2.109,,0.0712187975546714,0.1049282333423558,0.0017440211396712,0.1583386274037778,0.0040530268491549,0.0955451916452621,0.0626469694052945,0.2044289197993815,0.0531090713678056,0.101938899395414,0.101938899395414,0.2566772548284556,0.2297144730773769,0.006964075900805,0.0,0.0,0.4563429294286722,0.1846882782256222,0.1659301394192369,0.4671216015019805,0.1247448529138183,0.265943764527587,0.1802890832603125,0.0496805407059535,0.0585689339522551,0.113697632787361,0.0169896306890229,0.0064877189513788,0.0064877189513788,0.00144235194519,0.3169703839574921,0.1314426006313201,0.0,0.016738763598073,0.0633063111803159,0.078908249597721,0.0260629894536371
5,5,220,2021-06-15,32S,32S,311.0,Low,High,3,S,80.0,NxW_B library,barcode80B,B,13.6,0.136,58.1,3545.0,4094.5,3.545,4.0945,0.001147842,0.000464515,117.19,135.35,7631.6,8814.5,,100.0,20.0,2.026586861,6.580655787,7.631289159,879386627.0300156,1081052947.4581945,20.5947352076702,20.801201354476333,0.186546201,,,2.109,,0.0654101181737789,0.084299716480243,0.0020007516715229,0.149696747632342,0.0050411014040348,0.0910729993584578,0.0613523542662134,0.1936606291418394,0.0530327220761821,0.0970160413668151,0.0970160413668151,0.2189934637276109,0.183570629103966,0.0046042678251242,0.0,0.0,0.4603653704189579,0.1615970506018847,0.1358765838693822,0.4711538849709629,0.101960428374316,0.2340441946581701,0.1562222285306874,0.0486041105350626,0.0467558432415406,0.0940158835606656,0.0217437448301645,0.0082965606213434,0.0082965606213434,0.0015063689228213,0.2972478018477925,0.1354225772320463,0.0,0.009387348703064,0.0793967096065022,0.1106566014542692,0.0360228421552601
6,6,199,2021-06-15,3N,3N,115.0,Optimal,High,1,N,59.0,NxW_B library,barcode59B,B,13.5,0.135,59.0,5874.9,6785.5,5.8749,6.7855,0.001147842,0.000464515,191.25,220.89,12647.4,14607.7,,100.0,200.0,2.22797038,5.708159606,6.960176498,834368439.6483936,1007542761.5781302,20.54218563692829,20.73078029413815,0.171877888,,,3.446,,0.0543989692147449,0.0811785701534873,0.0012907758703102,0.1365697354156086,0.003684304633206,0.0869679078940575,0.0590501709547064,0.2130222079610226,0.0461148918827181,0.0858715722782927,0.0858715722782927,0.2251545396761477,0.1863638007643885,0.0059048195593513,0.0,0.0,0.4394724487747444,0.1774878888846883,0.1359936430349634,0.4444857487442933,0.1032206039365228,0.2494509522842281,0.1618500129501742,0.0393650681274723,0.0409954243944023,0.1067908093106596,0.0226091000971847,0.0091301554817565,0.0091301554817565,0.0015489143405061,0.2428642787306494,0.1561256594313743,0.0,0.0171520312313294,0.0882028350733506,0.1127386476404189,0.0462598507117283
7,7,203,2021-06-15,3N,3N,115.0,Optimal,High,1,N,63.0,NxW_B library,barcode63B,B,13.5,0.135,59.0,5874.9,6785.5,5.8749,6.7855,0.001147842,0.000464515,191.25,220.89,12647.4,14607.7,,100.0,200.0,2.22797038,5.708159606,6.960176498,834368439.6483936,1007542761.5781302,20.54218563692829,20.73078029413815,0.171877888,,,3.446,,0.0406708061334168,0.0740508529504608,0.0035791574808134,0.1347538916232536,0.005144270635595,0.0838695727735645,0.0473762156502161,0.1879512233704321,0.0570109695958235,0.0776706528519396,0.0776706528519396,0.2059026875927256,0.1745362375310149,0.0030891539816225,0.0,0.0,0.4326139161217645,0.1605131952981052,0.1296245884734412,0.4411044318860191,0.1005218973705986,0.2268873093346536,0.1547647992619939,0.0412280832559118,0.0392637442347712,0.1135787281168804,0.0252728993193877,0.0099131267152577,0.0099131267152577,0.001384575985323,0.2545816970836539,0.1337589161102625,0.0,0.0117405839303637,0.0709738442585764,0.1058532520674743,0.036709207613547
8,8,208,2021-06-15,20N,20N,215.0,Optimal,High,2,N,68.0,NxW_B library,barcode68B,B,15.0,0.15,57.7,4795.1,5538.3,4.7951,5.5383,0.001147842,0.000464515,159.62,184.36,10322.8,11922.9,,100.0,200.0,18.518209602,1.962477415,19.50473352,359795015.2268577,439570346.88126,19.701045025095848,19.90130832344436,0.181484789,,,2.007,,0.0269293157187353,0.3504889417977476,0.0066607872027227,0.1009457917344838,0.0035639469955883,0.0525651043404694,0.3198129585676531,0.1335764956909777,0.2965564754979019,0.049103010883717,0.049103010883717,0.397645371452539,0.3881317125108414,0.0038234393995576,0.0,0.0,0.5713113060229027,0.3984571740797371,0.3942327453152998,0.5767184497358898,0.3431294038350613,0.4270731573702743,0.1260518038404234,0.0625296040952646,0.0295168027910548,0.291668547790542,0.2850671523484009,0.0061781418452195,0.0061781418452195,0.0,0.469469076957711,0.0654431137545431,0.0,0.0052034388316223,0.3261215894657401,0.2865385940700409,0.2540025139567033
9,9,217,2021-06-15,20S,20S,215.0,Optimal,High,2,S,77.0,NxW_B library,barcode77B,B,15.0,0.15,57.7,4795.1,5538.3,4.7951,5.5383,0.001147842,0.000464515,159.62,184.36,10322.8,11922.9,,100.0,200.0,16.028983152000002,2.626674065,17.67970373,597472373.1150547,729946572.8744469,20.208218603236613,20.408481901585127,0.181484789,,,2.007,,0.0683989445295997,0.0869808113249988,0.0012459318896137,0.1640138010594991,0.0033116014210273,0.1076996487362166,0.0433839257913265,0.2151806792746271,0.0583964701967608,0.0986718783647522,0.0986718783647522,0.2443789371123217,0.2228715260775884,0.0048930436603992,0.0,0.0,0.48561466003008,0.1917420226779975,0.1361123699746526,0.5072689064108546,0.1259262901890785,0.2508491877445554,0.1906255813825547,0.0375457783103162,0.0602587416650927,0.1052880488427838,0.0166750089636695,0.0088387381507615,0.0088387381507615,0.0,0.3130716698235788,0.1485340343668472,0.0,0.0080179817817584,0.085737812496938,0.1030225257748829,0.033322961015213
