,Unnamed: 0.1,Unnamed: 0,Sample name,Sample date,Sample ID,Plot,ID,Nitrogen,Water,Block,Direction,Barcode,Notes,Barcode_key,Run,% Moisture Content (MC),Moisture as decimal,lb/bu,Weight (g) 0% MC,Weight (g) 15.5% MC,Weight (kg) 0% MC,Weight (kg) 15.5% MC,Harvest area (ac),Harvest area (ha),"Grain Yield, 0% MC bu/ac","Grain Yield, 15.5% MC bu/ac","Grain Yield, 0% MC kg/ha","Grain Yield, 15.5% MC kg/ha","Annual ET, mm",Water trt target,N trt target,lbs NH4-N / ac,lbs NO3-N / ac,Total N / ac,qPCR_DW,qPCR_FW,qPCR_DW_log,qPCR_FW_log,GWC,Stems,Leaves,Shoots,Grain 0% MC,Bacteria Nitrosospira lacus,Bacteria Sphingomonas sediminicola
135,137,137,180,2021-09-23,2S,2S,111.0,Low,High,1,S,40.0,NxW_B library,barcode40B,B,13.6,0.136,57.7,3297.1,3808.2,3.2971,3.8082,0.001147842,0.000464515,109.75,126.76,7098.0,8198.1,,100.0,20.0,4.720863727999999,1.105782043,4.850692283,701071313.9465492,779636718.8019568,20.36812017155999,20.474338624029265,0.100771812,246.9270713,135.0,,581.241,789744.0001445236,3008437.91511812
136,138,138,92,2021-09-23,2N,2N,111.0,Low,High,1,N,57.0,NxW_A library,barcode57A,A,13.6,0.136,57.7,3297.1,3808.2,3.2971,3.8082,0.001147842,0.000464515,109.75,126.76,7098.0,8198.1,,100.0,20.0,3.673607895,0.742529083,3.44018349,2587506857.954781,2877475253.205454,21.67396064595169,21.78017909842097,0.100771812,246.9270713,135.0,,581.241,0.0,27349406.745782416
137,139,139,68,2021-09-23,32N,32N,311.0,Low,High,3,N,46.0,NxW_A library,barcode46A,A,13.6,0.136,58.1,3545.0,4094.5,3.545,4.0945,0.001147842,0.000464515,117.19,135.35,7631.6,8814.5,,100.0,20.0,2.5586392360000003,2.073670587,3.656356335,1634562863.5688798,1894250061.697367,21.214641243816537,21.362088851346623,0.137092353,352.8014989,148.0,,581.86,0.0,0.0
138,140,140,186,2021-09-23,3S,3S,115.0,Optimal,High,1,S,46.0,NxW_B library,barcode46B,B,13.5,0.135,59.0,5874.9,6785.5,5.8749,6.7855,0.001147842,0.000464515,191.25,220.89,12647.4,14607.7,,100.0,200.0,3.890529898,1.066039685,3.980616094,1205643501.0536616,1325818678.5641978,20.910279287118687,21.00529597619563,0.090642242,336.5720471,158.0,,846.204,2970214.6713918145,7099535.936737413
139,141,141,85,2021-09-23,3N,3N,115.0,Optimal,High,1,N,51.0,NxW_A library,barcode51A,A,13.5,0.135,59.0,5874.9,6785.5,5.8749,6.7855,0.001147842,0.000464515,191.25,220.89,12647.4,14607.7,,100.0,200.0,3.724463534,0.794954495,3.543464541,3004587678.6587787,3304076588.368182,21.823406183758383,21.918422872835325,0.090642242,336.5720471,158.0,,846.204,9366697.244227467,11584368.525483811
140,142,142,71,2021-09-23,20S,20S,215.0,Optimal,High,2,S,49.0,NxW_A library,barcode49A,A,15.0,0.15,57.7,4795.1,5538.3,4.7951,5.5383,0.001147842,0.000464515,159.62,184.36,10322.8,11922.9,,100.0,200.0,4.756112191,1.395860828,5.176019531,2256286691.9734564,2504296756.129369,21.536986242283746,21.64127379599339,0.099033816,516.3732334,184.0,,668.568,0.0,16470092.131846294
141,143,143,86,2021-09-23,20N,20N,215.0,Optimal,High,2,N,52.0,NxW_A library,barcode52A,A,15.0,0.15,57.7,4795.1,5538.3,4.7951,5.5383,0.001147842,0.000464515,159.62,184.36,10322.8,11922.9,,100.0,200.0,2.5055375580000003,0.89710013,2.4266842,2845267557.644152,3158018145.6001816,21.7689229449689,21.873210498678542,0.099033816,516.3732334,184.0,,668.568,8893578.592702473,19072628.21258977
142,144,144,51,2021-09-23,36S,36S,315.0,Optimal,High,3,S,31.0,NxW_A library,barcode31A,A,13.0,0.13,58.6,5296.7,6117.7,5.2967,6.1177,0.001147842,0.000464515,173.6,200.51,11402.7,13170.1,,100.0,200.0,1.230402133,0.8102083760000001,1.064657021,2607160626.6250896,2828259683.1110525,21.68152758358819,21.762927406476138,0.078174949,379.3079558,153.0,,754.416,6907000.561175411,16492399.893944869
143,145,145,52,2021-09-23,36N,36N,315.0,Optimal,High,3,N,32.0,NxW_A library,barcode32A,A,13.0,0.13,58.6,5296.7,6117.7,5.2967,6.1177,0.001147842,0.000464515,173.6,200.51,11402.7,13170.1,,100.0,200.0,2.4656823350000003,1.152276444,2.64200529,3223847691.7586923,3497244610.8526206,21.89384141846452,21.975241241352474,0.078174949,379.3079558,153.0,,754.416,0.0,13647416.651749533
144,146,146,55,2021-09-23,6N,6N,116.0,High,High,1,N,34.0,NxW_A library,barcode34A,A,15.0,0.15,58.8,5345.4,6173.9,5.3454,6.1739,0.001147842,0.000464515,174.6,201.67,11507.5,13291.1,,100.0,245.0,4.028859409000001,1.538347376,4.591253296,1024409242.09671,1123452717.9999564,20.74738193420981,20.83967256414685,0.088159897,275.1883999,159.0,,641.845,0.0,0.0
145,147,147,183,2021-09-23,6S,6S,116.0,High,High,1,S,43.0,NxW_B library,barcode43B,B,15.0,0.15,58.8,5345.4,6173.9,5.3454,6.1739,0.001147842,0.000464515,174.6,201.67,11507.5,13291.1,,100.0,245.0,2.533733008,0.810862741,2.368642261,720221744.7069441,789855307.2379447,20.39506970131829,20.48736033125534,0.088159897,275.1883999,159.0,,641.845,970029.4670789456,3624959.1402816297
